game_id,listing_id,platform_guess,is_standard_edition,is_bundle,is_excluded,exclude_reason,needs_detail_scrape,seen_count,best_rank,price_raw,sold_flag_raw,listing_url,title_raw
pragmata_switch2,m34331485747,Switch 2,1,0,0,,1,2,37,6300,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m34331485747,プラグマタ Switch2 特典未使用
pragmata_switch2,m81480362696,Switch 2,1,0,0,,1,3,39,6499,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m81480362696,Switch2 プラグマタ
pragmata_switch2,m82911083755,unknown,1,0,0,,1,1,40,1799,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m82911083755,カプころん　ディアナ　カプコンストア　プラグマタ
pragmata_switch2,m42027670969,Switch 2,1,0,0,,1,1,40,5600,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m42027670969,PRAGMATA Nintendo Switch2 ソフト
pragmata_switch2,m76936641584,Switch 2,1,0,0,,1,2,40,7600,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m76936641584,Switch2 プラグマタ 新品未開封品
pragmata_switch2,m73027579830,unknown,1,0,0,,1,2,41,17999,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m73027579830,Switch２　CAPCOM名作アクション　バイオハザードとプラグマタ
pragmata_switch2,m88374280941,Switch 2,1,0,0,,1,2,42,5800,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m88374280941,プラグマタ Switch2
pragmata_switch2,m98062295156,unknown,1,0,0,,1,1,43,3200,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m98062295156,東京ゲ－ムショウ2025 プラグマタ PRAGMATA スケッチブック 非売品
pragmata_switch2,m46537724022,Switch 2,1,0,0,,1,2,43,6200,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m46537724022,プラグマタ switch2
pragmata_switch2,m20874059717,unknown,1,0,0,,1,1,44,5300,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m20874059717,プラグマタ
pragmata_switch2,m92646430672,Switch 2,1,0,0,,1,1,44,6000,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m92646430672,PRAGMATA Nintendo Switch2 ソフト
